time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292280.8323865,0.004782,0.0003761666666666667,60.2325,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292281.1306598,0.004788333333333334,0.000385,60.5168,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292281.4261146,0.004794833333333333,0.00039433333333333334,60.7944,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292281.7272599,0.004801,0.00040316666666666664,61.0729,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292282.0327468,0.004807333333333333,0.00041233333333333335,61.3521,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292282.329518,0.004813833333333333,0.00042166666666666665,61.6127,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292282.6360853,0.004820166666666667,0.000431,61.8813,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292282.9312801,0.0048265,0.0004406666666666667,62.1318,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292283.2326066,0.004832833333333333,0.00045,62.379,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292283.525322,0.0048389999999999996,0.0004595,62.6296,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
